PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
-0.63074388,2.180914764,-1.808938562,-1.264603153,-1.623332814,-1.77674873,0.014247975,1.309872585,0.404546852,1.245217848,1.244071299,-2.78E-16
2.047254609,1.483970008,0.125334028,-1.26028653,-0.455580568,-1.562030534,-0.840256391,1.376987467,-0.340203884,1.024382996,0.475688574,-1.11E-16
-0.422760831,1.36548459,1.839889683,1.29282242,-0.511734478,-0.65640831,1.328105463,0.891787514,-0.082566592,-0.583262711,1.32306378,6.66E-16
-1.094680082,-1.004264852,0.044173091,-0.890929628,1.30302906,-1.435912015,0.482780455,-1.276827195,-0.11993163,1.272065514,-0.273589389,-1.11E-16
-0.682960897,0.576883754,1.798575261,1.689807224,-0.249437127,-0.310993914,0.254102866,1.003754619,-0.743729155,0.194905313,-1.242786638,6.66E-16
-1.190135797,-1.651067866,0.082718432,0.353448217,2.305627414,0.015376202,-0.155828787,0.66480596,-1.539320269,0.015903887,0.396727775,-5.55E-17
-1.153031806,0.008493367,-1.868953628,1.099393743,-0.122364677,0.980368004,0.168303841,1.40455373,0.650013311,0.496220161,0.138938714,-1.11E-16
-0.345317602,1.475606732,1.013675851,-2.205875251,-0.538551823,1.100226322,-0.401938622,-0.954460236,-0.025837876,0.682168133,1.274731675,-1.11E-16
1.325004868,-1.34352849,-0.402301075,0.716648921,-0.021410214,0.715984193,0.073097434,-1.572280255,-1.452076801,-0.240016274,0.324157896,0
-0.62108301,1.74496206,-1.49654055,0.63030319,0.247529569,0.380689046,0.003945946,1.710840171,1.265088351,-0.689829077,1.552275803,-2.22E-16
-0.995844138,0.548213019,-1.829067075,1.109463155,0.158935909,0.767687952,0.344447944,-1.335278727,-0.557147918,0.280930101,-0.447391728,-3.33E-16
-1.033048263,0.564327103,-1.95360267,0.594580043,-0.430771299,0.213454232,0.693750364,-1.546824942,-0.748584695,1.210534045,-0.414433599,-2.78E-16
-1.112903527,-1.170721492,0.164988245,-0.477035105,1.848230584,-0.807882709,1.111248547,1.285435705,1.169951011,-0.403003705,-0.170125567,5.55E-17
-1.160306834,0.000960996,-1.967858756,0.632867575,-0.817969698,0.290167478,-1.861825425,-0.396348382,0.162716125,0.448821582,0.269417069,-3.33E-16
-0.980368362,-0.63776194,1.461430055,2.115395128,-0.834780361,0.189192853,-0.443961318,-1.191272645,-1.108278396,-0.027116332,0.264973265,6.66E-16
-1.028568373,0.450645931,-1.717401523,0.904988669,-0.044642495,0.685062897,0.259059123,-0.157431184,2.474528842,-0.382713026,-0.381868713,-2.78E-16
-1.10557184,-0.969817567,1.28454297,2.006482622,-1.06953968,0.273106325,1.710208092,0.301676208,-1.22541393,0.340376549,0.641131572,8.88E-16
-1.058100859,0.204662146,-1.732765722,2.058560637,1.105823024,2.022538474,2.064225747,0.4687936,-0.320762297,0.739515449,-0.204932742,-1.11E-16
-0.926761129,-0.388244692,1.597848044,1.635578665,-1.135940054,-0.32398216,-1.563568732,-0.105184303,0.808401092,-0.525514802,-0.030421597,6.66E-16
-1.155681724,-1.339955173,0.018278179,-0.826358392,1.262302915,-1.322196338,-1.175449036,1.39494937,-0.430470696,-1.248483211,0.155338378,-1.11E-16
2.008282057,1.010566728,0.070536489,0.013410418,0.510238207,-0.261815256,-0.200258091,-1.575535144,-1.764892432,-0.651577875,1.016646336,-1.67E-16
-0.347119163,1.149117152,0.977660774,0.467327482,3.961782434,-0.113485174,-0.645608997,-0.856136495,-0.184923696,2.07562396,0.372276402,-2.22E-16
1.897140804,0.63689629,0.034492768,-0.07199925,0.183177408,-0.212001103,0.089209452,-1.0027646,0.029102117,-0.623021273,1.432997795,-1.11E-16
-1.071559385,0.260482042,-1.829667579,0.824509135,-0.323849481,0.519685269,-0.99421327,-0.241417694,1.21703769,-0.942687221,-0.083292643,-2.78E-16
-0.603945759,2.178007715,-1.844056657,-0.871407086,-1.332860058,-1.483214628,0.160958092,-1.387892079,-0.686965472,1.3943422,1.269550919,-3.33E-16
-1.197392024,-0.140071908,-2.010856604,0.990150251,-0.448942935,0.813054292,0.9296953,-1.010650542,0.867514171,0.168531605,0.376690941,-1.67E-16
1.345795042,-1.21642632,-0.294000216,0.464050794,-0.10285921,0.552568047,0.828474118,-0.820805271,1.145280711,-0.987099247,0.131449582,5.55E-17
-1.080951083,-1.126813536,0.150175684,-0.551282937,1.608762537,-1.106822791,-1.24831053,-0.604605587,0.132482784,-0.32025784,-0.138476231,-1.67E-16
-1.094328021,-1.123381473,0.073471626,-0.45133023,1.804981641,-0.93388237,-0.027041483,0.642089582,-1.466442967,0.157723376,-0.158641558,-5.55E-17
1.338825274,-1.097244713,-0.299375282,0.099074332,-0.314060084,0.260970664,1.39791885,1.251283461,1.205235022,-0.160063721,-0.030084681,1.11E-16
-0.240605332,3.179181546,-1.122899424,0.33508245,0.957878057,-0.198590898,-0.763608421,1.643752937,0.335955739,-0.054894368,-0.167768131,-3.89E-16
1.832826406,0.422482943,0.079406264,0.029460939,0.305531154,0.103588781,0.896652409,1.463710711,1.288720479,-0.8338115,1.607342789,0
-1.030767297,-1.008433809,0.153444591,-0.176562013,2.111998418,-0.740446942,-0.288623626,-1.329882675,-1.020268084,-0.60647646,-0.293060866,-1.67E-16
2.213004883,1.717008032,0.49533025,0.048370479,1.227793938,-0.207196767,-1.621194256,1.677063014,-0.405356391,-0.884682823,0.060709483,-2.22E-16
-0.73235804,1.433969251,-1.461707539,1.001402802,0.752863481,0.506850229,-1.177482225,-0.43241194,0.415099807,-1.14970127,-1.529348751,-3.89E-16
1.538556431,-0.208295183,-0.262728071,-0.598392159,-0.438392792,-0.660682725,1.993129565,0.668132442,0.147686058,-0.138220357,-1.009562555,5.55E-17
-0.328272614,1.707280078,2.122362531,1.412305636,-0.164953137,-0.536404005,-0.043880394,1.701809588,0.894730224,1.535418225,0.814104428,6.66E-16
-0.581455234,2.042425783,-1.606297647,0.078839331,-0.153806534,-0.267264921,0.981111045,1.12556083,0.576801191,-0.451044513,1.269807989,-2.22E-16
1.418006311,-1.049460772,-0.169165166,0.852186067,0.413037559,0.899670312,0.023091673,-0.870122285,0.295403615,-0.565629365,-0.105460065,-5.55E-17
-1.079682897,-0.727382454,1.331293177,1.052021165,-2.097770507,-0.881008391,-0.751496255,-0.536223624,0.500701407,1.49864386,0.432158169,6.66E-16
-0.983998784,-0.651119009,0.470592579,-1.879324872,-1.236023066,1.669205369,1.363125434,-1.253938927,0.711703287,-0.73865213,0.369696954,1.11E-16
-1.049032477,0.228915807,-1.724369318,1.247594287,0.143449527,0.988820934,-1.227941758,-0.043836489,1.490530591,-1.410808708,-0.097323364,-3.89E-16
-1.182014479,0.276096877,-2.157993265,-0.249502069,-1.646283305,-0.621141725,0.490205339,-1.322172006,-0.161773022,3.530088973,-0.013524231,-1.67E-16
