,Age,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Gender_Male,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown
Age,1.0,0.00223564142526316,-0.00881436760954819,0.16656254982948426,-0.0017422621743446356,0.005590061542518077,0.003122232118251194,-0.004725504583814032,0.007861196396530086,-0.0016548642066767673,-0.002223693335901405,0.0008199152467067202
Education,0.00223564142526316,1.0,0.0009301042641856767,-0.004768873949022298,0.003562311867704583,-0.30703413255870293,0.006691237758315723,0.02919127942426815,0.006849332991900182,-0.0889947710007314,0.01593300759145218,0.027578376215221544
Introversion Score,-0.00881436760954819,0.0009301042641856767,1.0,-0.00011645177032659476,-0.008501698664478788,0.004278575322245539,-0.004294113805820959,-0.0014171781760147872,-0.0014623054415562812,0.0012171755149471177,0.006526626511967193,-0.003375490445653396
Sensing Score,0.16656254982948426,-0.004768873949022298,-0.00011645177032659476,1.0,0.010324586297303423,0.002178846569196314,0.0008076551962060231,-0.004581852108505222,0.00013365494440358225,0.005540351148359029,-0.010064108045301294,0.006705648540759059
Thinking Score,-0.0017422621743446356,0.003562311867704583,-0.008501698664478788,0.010324586297303423,1.0,0.0017143227836603693,-0.00023767818923231234,-0.01136610981007036,0.007256762916321781,0.0005222477215016464,0.004765215011689156,3.8540872587814816e-05
Judging Score,0.005590061542518077,-0.30703413255870293,0.004278575322245539,0.002178846569196314,0.0017143227836603693,1.0,-0.0010295140266451757,-0.007436577212429293,0.002099388901505068,0.008659294482782026,0.003304122567443698,-0.004494989524605237
Gender_Male,0.003122232118251194,0.006691237758315723,-0.004294113805820959,0.0008076551962060231,-0.00023767818923231234,-0.0010295140266451757,1.0,-0.001980261785499738,0.005470286125356226,-0.004048823366157206,-0.002963761663805325,0.002741715021382719
Interest_Arts,-0.004725504583814032,0.02919127942426815,-0.0014171781760147872,-0.004581852108505222,-0.01136610981007036,-0.007436577212429293,-0.001980261785499738,1.0,-0.210087652925589,-0.21409322251605864,-0.19621659197630822,-0.36059579082142756
Interest_Others,0.007861196396530086,0.006849332991900182,-0.0014623054415562812,0.00013365494440358225,0.007256762916321781,0.002099388901505068,0.005470286125356226,-0.210087652925589,1.0,-0.18786575439414857,-0.17217909863313632,-0.31642104069380844
Interest_Sports,-0.0016548642066767673,-0.0889947710007314,0.0012171755149471177,0.005540351148359029,0.0005222477215016464,0.008659294482782026,-0.004048823366157206,-0.21409322251605864,-0.18786575439414857,1.0,-0.1754618967985452,-0.32245398209106824
Interest_Technology,-0.002223693335901405,0.01593300759145218,0.006526626511967193,-0.010064108045301294,0.004765215011689156,0.003304122567443698,-0.002963761663805325,-0.19621659197630822,-0.17217909863313632,-0.1754618967985452,1.0,-0.2955293058394376
Interest_Unknown,0.0008199152467067202,0.027578376215221544,-0.003375490445653396,0.006705648540759059,3.8540872587814816e-05,-0.004494989524605237,0.002741715021382719,-0.36059579082142756,-0.31642104069380844,-0.32245398209106824,-0.2955293058394376,1.0
