,Age,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Gender_Male,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown
PC1,0.0030103891168103344,0.0674624911316472,-0.003383236448737276,0.005738764751805081,0.0011738750208884563,-0.05235583544179839,0.004005055008447449,-0.10548097163383038,-0.07835458710409013,-0.11102349341091848,-0.06520512608355404,0.2792115337304709
PC2,-0.00957133775123417,0.2068469295800415,-0.001249568448786633,-0.014530215063199596,-0.0021282657484343434,-0.19040025719973652,0.004773399670499217,0.11915167085263749,0.03144950657472378,-0.10752669708834767,0.03614443005992684,-0.06582952290824326
PC3,0.025542168406963762,0.04360379399110821,0.0006341129921777123,0.019996207906800317,0.021655930721086115,-0.04971342962465282,0.0070295180509141976,-0.2279507173514547,0.1846935345095606,0.015386640319739136,0.08913886573464433,-0.02807825157835412
PC4,0.12051353287912302,-0.02118715532348501,-0.014720827946034054,0.11950326187412533,0.003526585962328077,0.03322543335568263,0.010799275432089028,0.06690317836893431,0.16014814007975797,-0.07010198562577996,-0.18032907358473463,0.007474980220413308
PC5,0.12222376452855295,0.061552592016208316,-0.007709744785414309,0.1293427341439171,0.00425592929838788,-0.09883746306426944,-0.0011839722316569997,-0.030399883645072876,-0.10834193454808111,0.19333236413350563,-0.04055262552724391,-0.011959595923679883
PC6,0.13533410456287898,-0.02976598292780339,0.0007666919850205389,0.12978662583062095,0.007840786843604345,0.06077775839242097,-0.0012686622564056606,0.019495549748047753,-0.06698007826734703,-0.12720247116403216,0.18821152932650786,-0.0036011684287000838
PC7,0.01195817799890509,0.002749272666597379,0.20917840488951572,0.010561102486604641,-0.18151938623968727,-0.003677654577413981,-0.08264243052877472,-0.008092006529405265,0.011498197686695046,-0.0010933948804678231,-0.0038840479737728122,0.0016112303915403335
PC8,-0.006836239251479829,0.001304576300406262,0.008474245027779537,0.006487104498228509,0.1276514479226758,-0.002712149924239158,-0.2583730764360381,0.004665359084385691,0.004056648045012688,-0.0043282207387652745,-0.007499653743787024,0.0018171899069015984
PC9,-0.012683548967015382,0.003070768091632896,0.19773901893728033,0.011595464425949192,0.18252156514916484,0.004544633145754378,0.09760234505271143,0.011007587678928782,-0.006581796403817149,0.0021729425584754206,-0.009600631711861362,0.001170679222051727
PC10,0.1855037882305584,0.005419437709295729,0.010269116527956399,-0.18581831697310755,0.014066589514631841,0.005687988539580156,-0.0023089177700175855,0.0006480547993985009,-0.003965618086984222,0.005309027538647108,-0.004729471595490488,0.0018132184139572878
PC11,-0.006365366179914982,0.170069136767812,-0.0030984676437394326,0.004214568147112171,-0.0032013116908659323,0.16500884690049464,-0.002736958800524205,-0.00770389384923286,-0.003698014090296406,0.02614156492717926,-0.007544998520594123,-0.005468664901719093
PC12,-7.079103522496466e-34,-3.8196464519695306e-33,3.584965754062584e-33,-1.991676155029845e-35,5.1469086795775234e-33,-2.39538278902604e-33,-7.125716297025683e-33,-3.987547990682506e-17,-3.6617428861380447e-17,-3.7093316541931e-17,-3.4893291404076593e-17,-4.823833297424195e-17
