,Age,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Gender_Male,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown
PC1,0.003010389116810409,0.06746249113153616,-0.0033832364487363176,0.005738764751807199,0.0011738750208881749,-0.05235583544169942,0.0040050550084440644,-0.10548097163386573,-0.07835458710412278,-0.11102349341086522,-0.06520512608358875,0.2792115337305251
PC2,-0.009571337751232683,0.20684692958006043,-0.0012495684487881112,-0.014530215063197523,-0.0021282657484336383,-0.19040025719975287,0.004773399670501468,0.11915167085259297,0.03144950657468569,-0.10752669708842226,0.03614443005990469,-0.06582952290810679
PC3,0.025542168406944458,0.04360379399109442,0.000634112992179008,0.019996207906779074,0.021655930721082472,-0.04971342962462483,0.007029518050915168,-0.22795071735144784,0.1846935345095977,0.015386640319650745,0.08913886573465231,-0.02807825157832406
PC4,0.12051353287885627,-0.021187155323489363,-0.014720827946027453,0.11950326187386082,0.003526585962313538,0.03322543335567035,0.0107992754320877,0.06690317836894571,0.16014814007990916,-0.07010198562573221,-0.1803290735849744,0.00747498022042588
PC5,0.12222376452857499,0.061552592016232706,-0.007709744785424386,0.12934273414393746,0.00425592929839507,-0.09883746306430301,-0.0011839722316452997,-0.030399883645102307,-0.1083419345478883,0.19333236413351548,-0.04055262552742105,-0.011959595923685042
PC6,0.1353341045630971,-0.02976598292781485,0.0007666919849945525,0.12978662583084127,0.007840786843607695,0.0607777583924319,-0.0012686622563903747,0.019495549748132075,-0.06698007826719743,-0.12720247116403424,0.18821152932623805,-0.0036011684286841234
PC7,0.011958177998905365,0.002749272666597775,0.20917840488950942,0.010561102486604475,-0.1815193862396899,-0.0036776545774145895,-0.08264243052877317,-0.008092006529404325,0.011498197686691662,-0.0010933948804669042,-0.0038840479737712935,0.0016112303915403478
PC8,-0.006836239251480083,0.001304576300406383,0.008474245027792558,0.006487104498229281,0.12765144792268251,-0.00271214992423908,-0.25837307643603036,0.004665359084385508,0.004056648045010773,-0.004328220738764872,-0.007499653743783908,0.0018171899069008707
PC9,-0.012683548967014388,0.0030707680916323946,0.1977390189372814,0.011595464425948838,0.18252156514915235,0.004544633145754853,0.09760234505272265,0.011007587678926999,-0.006581796403816253,0.0021729425584742783,-0.009600631711857939,0.0011706792220506856
PC10,0.18550378823055552,0.005419437709295133,0.010269116527956292,-0.18581831697310577,0.014066589514631508,0.005687988539579831,-0.0023089177700175737,0.0006480547993982785,-0.00396561808698371,0.005309027538646777,-0.004729471595489552,0.0018132184139566265
PC11,-0.0063653661799144435,0.17006913676781268,-0.003098467643739195,0.004214568147111852,-0.0032013116908655133,0.16500884690048798,-0.0027369588005241217,-0.007703893849232971,-0.003698014090296333,0.026141564927177473,-0.007544998520593678,-0.005468664901718651
PC12,-5.186718512722846e-35,1.5282560597675414e-32,5.0906221622188496e-33,4.0311911053703935e-34,1.2536546823425578e-33,-4.183835111118959e-33,-2.8242004086157287e-33,2.6209608805724636e-17,2.4068136312610268e-17,2.4380930791118382e-17,2.293488428934121e-17,3.1706398008232935e-17
