,ISFP,ISTP,INTP,ENTP,INFJ,ESTP,ESFP,ENFJ,INFP,INTJ,ISTJ,ENFP,ESFJ,ISFJ,ENTJ,ESTJ
ISFP,252,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0
ISTP,1,259,1,0,0,15,0,0,0,0,1,0,0,0,0,0
INTP,0,12,217,15,0,0,0,0,2,1,0,0,0,0,0,0
ENTP,0,0,32,240,0,12,0,0,0,0,0,0,0,0,0,0
INFJ,0,0,0,0,230,0,0,18,1,1,0,0,0,14,0,0
ESTP,0,20,0,5,0,246,1,0,0,0,0,0,0,0,0,0
ESFP,31,0,0,0,0,0,225,0,0,0,0,3,0,0,0,0
ENFJ,0,0,0,0,16,0,0,238,0,1,0,0,9,2,1,0
INFP,17,0,1,0,0,0,1,0,267,0,0,23,0,0,0,0
INTJ,0,0,3,0,1,0,0,0,0,252,15,0,1,0,18,0
ISTJ,0,0,0,0,0,0,0,0,0,1,254,0,0,0,0,6
ENFP,0,0,0,2,0,0,17,0,22,0,0,228,0,0,0,0
ESFJ,0,0,0,0,0,0,1,1,0,0,0,0,258,33,0,0
ISFJ,1,0,0,0,5,0,0,1,0,0,1,0,20,256,0,0
ENTJ,0,0,0,0,0,0,0,0,0,19,2,0,0,0,220,8
ESTJ,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,245
