,ISFP,ISTP,INTP,ENTP,INFJ,ESTP,ESFP,ENFJ,INFP,INTJ,ISTJ,ENFP,ESFJ,ISFJ,ENTJ,ESTJ
ISFP,195,9,0,0,0,2,11,0,0,0,0,0,5,25,0,0
ISTP,8,230,1,0,0,10,0,0,0,0,24,0,0,2,0,6
INTP,1,21,210,18,1,1,0,0,8,25,0,0,0,0,2,0
ENTP,1,0,23,212,0,14,0,2,1,1,0,11,1,0,18,3
INFJ,4,0,2,0,174,0,0,15,29,13,2,1,2,13,2,0
ESTP,2,33,0,0,0,204,7,0,0,0,3,0,2,0,0,24
ESFP,26,0,0,0,0,13,187,0,0,0,0,0,35,3,0,1
ENFJ,0,0,0,6,10,0,1,214,1,0,0,26,19,2,12,1
INFP,21,0,12,2,24,0,2,2,193,0,0,6,0,3,0,0
INTJ,0,3,25,1,7,0,0,0,0,186,20,0,0,1,17,1
ISTJ,0,10,0,0,0,3,0,0,0,1,243,0,0,8,0,8
ENFP,2,0,0,16,2,0,16,33,32,0,0,211,0,0,3,0
ESFJ,3,0,0,0,0,3,25,0,0,0,0,0,207,25,0,13
ISFJ,30,0,0,0,0,1,2,0,0,0,8,0,16,204,0,2
ENTJ,0,1,4,26,2,4,0,13,0,17,0,0,0,0,178,17
ESTJ,0,4,0,0,0,39,0,0,0,0,17,0,11,5,1,192
